Index,Date,Closing Price
OMXS30,2020-03-09,"1,542.44"
OMXS30,2020-03-10,"1,533.79"
OMXS30,2020-03-11,"1,511.96"
OMXS30,2020-03-12,"1,352.13"
OMXS30,2020-03-13,"1,376.46"
OMXS30,2020-03-16,"1,329.16"
OMXS30,2020-03-17,"1,372.79"
OMXS30,2020-03-18,"1,337.24"
OMXS30,2020-03-19,"1,380.58"
OMXS30,2020-03-20,"1,355.54"
OMXS30,2020-03-23,"1,292.27"
OMXS30,2020-03-24,"1,383.88"
OMXS30,2020-03-25,"1,446.56"
OMXS30,2020-03-26,"1,470.89"
OMXS30,2020-03-27,"1,419.29"
OMXS30,2020-03-30,"1,449.20"
OMXS30,2020-03-31,"1,482.43"
OMXS30,2020-04-01,"1,425.99"
OMXS30,2020-04-02,"1,427.19"
OMXS30,2020-04-03,"1,404.59"
OMXS30,2020-04-06,"1,461.23"
OMXS30,2020-04-07,"1,510.85"
OMXS30,2020-04-08,"1,499.51"
OMXS30,2020-04-09,"1,498.76"
OMXS30,2020-04-14,"1,535.84"
OMXS30,2020-04-15,"1,480.60"
OMXS30,2020-04-16,"1,483.79"
OMXS30,2020-04-17,"1,534.55"
OMXS30,2020-04-20,"1,541.17"
OMXS30,2020-04-21,"1,493.45"
OMXS30,2020-04-22,"1,527.63"
OMXS30,2020-04-23,"1,541.89"
OMXS30,2020-04-24,"1,514.13"
OMXS30,2020-04-27,"1,539.51"
OMXS30,2020-04-28,"1,568.50"
OMXS30,2020-04-29,"1,600.86"
OMXS30,2020-04-30,"1,577.92"
OMXS30,2020-05-04,"1,505.21"
OMXS30,2020-05-05,"1,538.18"
OMXS30,2020-05-06,"1,521.40"
OMXS30,2020-05-07,"1,537.74"
OMXS30,2020-05-08,"1,563.19"
OMXS30,2020-05-11,"1,556.49"
OMXS30,2020-05-12,"1,570.03"
OMXS30,2020-05-13,"1,522.64"
OMXS30,2020-05-14,"1,476.52"
OMXS30,2020-05-15,"1,493.62"
OMXS30,2020-05-18,"1,566.16"
OMXS30,2020-05-19,"1,560.28"
OMXS30,2020-05-20,"1,556.44"
OMXS30,2020-05-22,"1,555.49"
OMXS30,2020-05-25,"1,588.60"
OMXS30,2020-05-26,"1,606.65"
OMXS30,2020-05-27,"1,623.39"
